depth	min	max	median	mean
1.5	4430	4690	4561	4559
2.5	4444	4696	4574	4573
3.5	4456	4707	4588	4586
4.5	4468	4722	4602	4599
5.5	4476	4744	4614	4612
6.5	4490	4758	4628	4626
7.5	4510	4764	4644	4641
8.5	4525	4771	4661	4655
9.5	4541	4777	4681	4670
10.5	4549	4785	4698	4685
11.5	4563	4795	4714	4699
12.5	4578	4800	4732	4712
13.5	4588	4804	4750	4726
14.5	4604	4811	4765	4739
15.5	4613	4825	4777	4753
16.5	4643	4841	4791	4771
17.5	4692	4856	4806	4792
18.5	4731	4885	4819	4814
19.5	4768	4917	4833	4836
20.5	4788	4957	4849	4857
21.5	4823	4990	4882	4891
22.5	4854	5034	4935	4937
23.5	4870	5091	4988	4983
24.5	4882	5157	5036	5029
25.5	4891	5233	5084	5075
26.5	4939	5277	5130	5121
27.5	5021	5287	5175	5169
28.5	5094	5310	5222	5216
29.5	5159	5352	5266	5263
30.5	5207	5411	5302	5310
31.5	5252	5450	5336	5348
32.5	5299	5462	5370	5377
33.5	5340	5478	5404	5407
34.5	5361	5500	5436	5436
35.5	5379	5542	5465	5465
36.5	5404	5570	5488	5490
37.5	5436	5579	5508	5509
38.5	5461	5592	5529	5529
39.5	5476	5617	5550	5549
40.5	5486	5648	5570	5568
41.5	5512	5673	5590	5589
42.5	5540	5692	5610	5611
43.5	5558	5723	5630	5633
44.5	5574	5768	5651	5655
45.5	5586	5821	5673	5677
46.5	5612	5852	5698	5703
47.5	5648	5860	5728	5732
48.5	5669	5869	5759	5760
49.5	5683	5881	5794	5789
50.5	5694	5903	5826	5818
51.5	5717	5925	5854	5845
52.5	5756	5936	5880	5870
53.5	5787	5961	5903	5895
54.5	5803	5993	5924	5920
55.5	5821	6042	5944	5945
56.5	5853	6071	5966	5969
57.5	5902	6085	5987	5990
58.5	5931	6101	6008	6012
59.5	5949	6125	6031	6034
60.5	5958	6159	6054	6055
61.5	5973	6181	6074	6075
62.5	5995	6187	6093	6093
63.5	6010	6199	6112	6110
64.5	6022	6216	6129	6128
65.5	6031	6244	6148	6145
66.5	6058	6260	6169	6167
67.5	6103	6268	6194	6192
68.5	6142	6277	6220	6217
69.5	6171	6291	6246	6242
70.5	6192	6313	6273	6267
71.5	6214	6337	6292	6286
72.5	6235	6346	6304	6301
73.5	6254	6361	6318	6316
74.5	6274	6383	6332	6330
75.5	6287	6410	6345	6345
76.5	6299	6429	6360	6360
77.5	6311	6444	6378	6375
78.5	6320	6463	6393	6390
79.5	6327	6491	6406	6406
80.5	6332	6527	6419	6421
81.5	6344	6551	6434	6437
82.5	6359	6563	6450	6453
83.5	6368	6583	6467	6469
84.5	6377	6609	6483	6485
85.5	6383	6642	6498	6502
86.5	6394	6664	6513	6517
87.5	6410	6675	6529	6533
88.5	6420	6686	6547	6548
89.5	6431	6703	6562	6563
90.5	6438	6727	6579	6579
91.5	6455	6742	6594	6594
92.5	6480	6750	6609	6610
93.5	6497	6761	6624	6626
94.5	6510	6778	6640	6641
95.5	6522	6800	6656	6657
96.5	6538	6818	6671	6673
97.5	6559	6831	6688	6690
98.5	6572	6850	6705	6707
99.5	6581	6871	6721	6724
