depth	min	max	median	mean
38	5911	6239	6086	6082
43	6294	6647	6455	6459
47	6536	6990	6732	6740
51	6704	7342	7001	7010
54	6851	7573	7204	7205
58	7082	7793	7469	7462
62	7398	7996	7730	7716
66	7770	8159	7972	7969
70	7967	8371	8153	8160
74	8093	8603	8308	8318
78	8215	8795	8474	8482
82	8346	8976	8641	8648
86	8482	9136	8803	8805
90	8663	9296	8967	8971
94	8837	9428	9125	9128
98	9014	9567	9292	9288
102	9202	9683	9453	9452
106	9475	9808	9605	9614
110	9582	10000	9751	9759
114	9682	10171	9888	9897
118	9790	10354	10039	10046
122	9906	10496	10178	10183
126	10028	10636	10323	10329
130	10155	10770	10471	10468
134	10306	10926	10614	10613
138	10447	11040	10752	10747
142	10608	11144	10891	10889
146	10815	11274	11036	11035
150	11047	11376	11172	11179
154	11209	11821	11421	11445
158	11445	12201	11746	11761
162	11843	12551	12087	12119
166	12008	12647	12277	12303
170	12137	12760	12439	12451
174	12250	12889	12569	12567
175	12267	12910	12585	12586
175.00005	12267	12910	12585	12586
178	12267	12910	12585	12586
182	12267	12910	12585	12586
183	12267	12910	12585	12586
183.00005	12306	12967	12617	12622
186	12382	13093	12707	12712
190	12511	13245	12825	12836
194	12668	13406	12942	12957
198	12851	13561	13047	13081
202	13030	13919	13260	13313
206	13207	14535	13609	13673
210	13462	14987	14002	14060
214	13731	15452	14398	14447
218	14028	15860	14757	14807
222	14360	16331	15144	15180
226	14729	16820	15604	15632
230	15103	17335	16130	16144
234	15538	17854	16650	16659
238	15980	18346	17174	17167
242	16461	18811	17715	17681
246	17028	19229	18221	18196
250	17622	19604	18758	18725
254	18262	19908	19255	19238
258	18683	20097	19539	19509
262	19113	20260	19781	19758
266	19611	20436	20007	20016
