depth,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O,PC1,PC2
38,6911,37543,32399,23147,4.35,0.05,4.3,0.546,0.0695,-1.179149971971,-1.70104893207455,-1.7987285372370245,-1.1973635111459295
43,6834,30793,27678,34695,5.89,2.98,2.91,0.373,0.0182,-1.43499837717196,-1.91928105872753,-1.9942441920150724,-0.37916832686671825
47,7939,34554,29408,28099,5.86,3.95,1.91,0.25,0.0117,-0.806610668865473,-0.982011487621718,-2.240585828803419,-0.8054597133845864
51,7945,33127,31313,27616,5.37,4.4,0.97,0.136,0.00616,-0.581187208512561,-0.580550354559717,-2.163291229735073,-0.8116980009917062
54,7986,31945,30079,29990,5.07,4.18,0.89,0.113,0.00394,-1.58411974417823,-0.697353101364643,-1.9552030026574014,-0.6436185636569552
58,8587,32882,30626,27906,5.08,4.29,0.79,0.107,0.00996,-1.12632283804662,-1.32241792130626,-1.8227196935349104,-0.7902049140978801
62,6238,27713,32320,33729,5.56,4.65,0.91,0.112,0.0124,-1.37904674636958,-1.36532056960831,-2.1100615169432837,-0.35020624328431077
66,5621,27268,31958,35153,6.34,5.28,1.06,0.103,0.00417,-1.5543131516988,-1.31392571460035,-2.583100426932875,-0.21764411299217828
70,5478,27365,32428,34729,5.17,4.4,0.77,0.0888,0.00844,-1.13935004006212,-1.14515395174263,-2.1875885172866383,-0.2582727526602943
74,4974,25840,36092,33094,5.62,4.91,0.71,0.0967,0.00434,-1.32940896090583,-1.46289870661312,-2.140212271512792,-0.36519690808028654
78,6010,27777,31820,34394,5.28,4.67,0.61,0.1,0.00774,-0.634254273480251,-0.411847319044906,-2.1204923654594783,-0.32750075907498927
82,3290,15046,19617,62046,5.25,4.71,0.54,0.086,0.00365,-1.43159440383484,0.992067358212208,-2.1606089241568682,1.5315973452400289
86,3854,18526,30253,47366,4.68,4.38,0.3,0.0686,0.00607,-1.2759753250402,0.116678374719681,-1.782585188774514,0.5499299224728664
90,2795,15512,20718,60975,3.77,3.53,0.24,0.0677,0.00849,-1.77800481183136,-0.2427654728948,-1.1994359964926646,1.4538382755722359
94,2454,15478,17233,64838,4.01,3.74,0.27,0.0621,0.00942,-1.60622060514012,0.17636918718633,-1.4418684458799398,1.7201892588479677
98,4708,28900,52528,13863,3.25,3,0.25,0.0561,0.00954,-2.97172650804271,-0.457719468130852,-1.391114383532334,-1.6530031058381975
102,2567,16390,24071,56973,3.2,2.8,0.4,0.0619,0.013,-2.6350642288566,-0.834864734963448,-1.183211218166615,1.2349408717642156
106,3572,19726,40595,36107,2.5,2.01,0.49,0.069,0.00838,-2.92169203433987,-0.311580520045542,-1.3088403552225638,-0.1521369973692142
110,3846,20259,44308,31587,3.03,2.49,0.54,0.0753,0.0132,-2.06280371740027,-0.612580935917265,-1.5671154422011573,-0.45025345385612603
114,2664,15343,26076,55916,3.17,2.75,0.42,0.0744,0.0102,-3.80783259023087,-2.10994241392927,-0.66338569429903,1.1639858222964472
118,3428,19240,35859,41473,3.42,3.09,0.33,0.0672,0.012,-3.5078151787613,-1.38800988311218,-0.9683929990290447,0.19114682415935438
122,2390,14136,22399,61075,3.47,3.08,0.39,0.067,0.00566,-2.96269129504156,-0.334858046673164,-1.2035730996990441,1.4948228620226167
126,6035,37326,49213,7426,4.08,3.82,0.26,0.0657,0.0027,-1.88369504222977,-0.147242145998185,-1.767460267579432,-2.110751720489706
130,2897,18780,33719,44604,3.99,3.52,0.47,0.106,0.022,-3.37804940796714,-2.10223440125611,-0.9552999494806099,0.40372846848071925
134,2984,25220,37171,34625,3.46,3.21,0.25,0.0647,-2.63e-4,-3.28717031430206,-2.85348118831468,-0.7275112981545774,-0.24375445174642532
138,2552,22957,34682,39809,2.93,2.59,0.34,0.069,0.00275,-4.20755872980775,-3.76108359736642,-0.3447615649438906,0.12240247823151909
142,2164,21465,32343,44027,1.45,1.18,0.27,0.0828,0.00281,-4.47280176980885,-3.6999798376157,0.3037523779520992,0.3811759554717572
146,3332,27874,38774,30021,2.65,2.27,0.38,0.102,0.00606,-5.29633991568921,-5.40435202199307,0.2916002476420272,-0.5377272824421634
150,8566,26246,36396,28792,6.68,6.51,0.17,0.0631,0.00236,0.41636250053942,-1.06935046139345,-2.02724055481894,-0.7687695524936731
154,8176,20546,36605,34672,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984,-1.8874936011501755,-0.39038398666710655
158,8562,21209,29942,40287,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254,-0.9825435140048051,-0.04117757978887446
162,9634,22604,29309,38454,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136,0.2208567808838372,-0.2087293366809717
166,11004,25217,27943,35836,1.12,1.07,0.05,0.036,0.00691,-4.90732026908949,-1.27112966000826,0.7915043891260053,-0.3906135279384608
170,9111,21045,22919,46924,0.516,0.46,0.056,0.0296,0.0104,-5.31163783986785,-2.36752186182948,1.1765575948312228,0.3907240696959138
174,9179,20555,23943,46322,0.362,0.19,0.172,0.0357,0.0101,-6.96994945036329,-2.56814781664207,1.1811625723294474,0.3872910910756616
178,8969,20204,20131,50696,0.273,0.19,0.083,0.031,0.0157,-6.42852024381835,-3.20599764191858,1.5289820658239306,0.6572380142442513
182,10634,23860,23141,42365,0.249,0.24,0.009,0.0314,0.0182,-6.84408539064208,-5.09581717266358,2.2658574083252065,0.06386532251640036
186,13768,29650,27945,28637,0.335,0.37,-0.035,0.0353,0.00558,-6.63582104549278,-1.88729247797123,1.7812300526552374,-0.9477781335925531
190,12278,28371,22027,37324,0.426,0.31,0.116,0.0271,0.00466,-7.16533409839112,-2.85133120122866,1.4438445756801594,-0.2715549144610232
194,12587,28185,23687,35541,0.467,0.31,0.157,0.0299,0.00383,-6.66620616005156,-2.28131767322714,1.1407484787045605,-0.3885328120953916
198,11634,28206,22231,37928,0.303,0.18,0.123,0.0275,0.00324,-7.31388857279053,-2.56630786724343,1.3769617796835392,-0.21837697073911183
202,13425,30056,25866,30653,0.296,0.22,0.076,0.027,0.00318,-7.61496275605459,-2.47479652768398,1.6369261271732638,-0.755047960368271
206,12680,30898,25252,31169,0.315,0.16,0.155,0.0218,0.00739,-6.11196740872855,-2.34973355513075,0.8647944543067635,-0.6505405042529442
210,12632,31214,21533,34622,0.508,0.41,0.098,0.0349,0.0052,-7.47353069687289,-3.04869545426482,1.6596794298114805,-0.4732537121449252
214,13203,33956,23872,28968,0.358,0.29,0.068,0.0247,0.00639,-6.57084762667846,-2.90769800847306,1.5210354323708053,-0.8567556215372054
218,14438,31201,15963,38398,0.425,0.35,0.075,0.0248,0.00722,-6.1555099871984,-2.26334300988037,1.5057507963300167,-0.2707821194328618
222,11454,24480,14936,49130,0.246,0.18,0.066,0.0227,0.00185,-6.89907736255925,-2.55134722320724,1.631147599589833,0.4975775924920003
226,12091,26872,13785,47252,0.599,0.48,0.119,0.0294,0.00351,-6.06416965733562,-1.88380801134743,1.178486336566946,0.3689659689938871
230,11346,24077,13741,50836,0.818,0.71,0.108,0.0244,0.00653,-8.67795460124323,-3.45194485316931,1.7589862275578294,0.6414007622818149
234,6062,19920,12840,61177,0.316,0.41,-0.094,0.0221,0.00371,-9.53567677897891,-3.92590359825889,2.7694857895703024,1.3263057003112932
238,5088,18410,12436,64066,0.0138,0.02,-0.0062,0.0239,0.00577,-9.38870303394971,-5.43057644720961,2.6593586757941963,1.6007989573006902
242,3792,10738,9508,75962,0.0617,-0.01,0.0617,0.0313,0.0131,-9.81231681653598,-8.61849671559189,3.1590219969779203,2.4643519207972053
246,3305,9538,9533,77624,0.104,-0.04,0.104,0.0205,0.014,-8.7652034335107,-5.60472543694214,2.038875360844583,2.596314622863233
250,16041,38965,25213,19780,-0.00501,0.09,-0.09501,0.0204,0.775,-10.2805053576826,-7.4285919902176,3.9965063866246933,-1.5730828305173756
254,13497,33995,15901,36607,0.00241,-0.05,0.00241,0.0289,0.00882,-10.6505086779902,-5.76188631674823,3.220743218754727,-0.37188865784361913
258,18136,60494,19334,2037,0.079,0.06,0.019,0.0233,0.167,-9.31285146921185,-4.41990667280148,2.568991868937021,-2.736110948355809
262,21931,59620,14435,4013,0.2,0.29,-0.09,0.0238,0.0104,-9.61149915727797,-4.39028675529566,3.4095754687546513,-2.7497170731671527
266,25279,50424,12135,12162,0.238,0.29,-0.052,0.0263,0.156,-11.4885493391023,-4.87755140542383,3.954349540149103,-2.2633859506198215
