id,depth,clay,silt_fine,silt_coarse,sand,TC,TIC,TOC,TN,TS,d13C,d18O
38-39 cm,38,6911,37543,32399,23147,4.35,0.05,4.3,0.546,0.0695,-1.179149971971,-1.70104893207455
43-44 cm,43,6834,30793,27678,34695,5.89,2.98,2.91,0.373,0.0182,-1.43499837717196,-1.91928105872753
47-48 cm,47,7939,34554,29408,28099,5.86,3.95,1.91,0.25,0.0117,-0.806610668865473,-0.982011487621718
51-52 cm,51,7945,33127,31313,27616,5.37,4.4,0.97,0.136,0.00616,-0.581187208512561,-0.580550354559717
54-55 cm,54,7986,31945,30079,29990,5.07,4.18,0.89,0.113,0.00394,-1.58411974417823,-0.697353101364643
58-59 cm,58,8587,32882,30626,27906,5.08,4.29,0.79,0.107,0.00996,-1.12632283804662,-1.32241792130626
62-63 cm,62,6238,27713,32320,33729,5.56,4.65,0.91,0.112,0.0124,-1.37904674636958,-1.36532056960831
66-67 cm,66,5621,27268,31958,35153,6.34,5.28,1.06,0.103,0.00417,-1.5543131516988,-1.31392571460035
70-71 cm,70,5478,27365,32428,34729,5.17,4.4,0.77,0.0888,0.00844,-1.13935004006212,-1.14515395174263
74-75 cm,74,4974,25840,36092,33094,5.62,4.91,0.71,0.0967,0.00434,-1.32940896090583,-1.46289870661312
78-79 cm,78,6010,27777,31820,34394,5.28,4.67,0.61,0.1,0.00774,-0.634254273480251,-0.411847319044906
82-83 cm,82,3290,15046,19617,62046,5.25,4.71,0.54,0.086,0.00365,-1.43159440383484,0.992067358212208
86-87 cm,86,3854,18526,30253,47366,4.68,4.38,0.3,0.0686,0.00607,-1.2759753250402,0.116678374719681
90-91 cm,90,2795,15512,20718,60975,3.77,3.53,0.24,0.0677,0.00849,-1.77800481183136,-0.2427654728948
94-95 cm,94,2454,15478,17233,64838,4.01,3.74,0.27,0.0621,0.00942,-1.60622060514012,0.17636918718633
98-99 cm,98,4708,28900,52528,13863,3.25,3,0.25,0.0561,0.00954,-2.97172650804271,-0.457719468130852
102-103 cm,102,2567,16390,24071,56973,3.2,2.8,0.4,0.0619,0.013,-2.6350642288566,-0.834864734963448
106-107 cm,106,3572,19726,40595,36107,2.5,2.01,0.49,0.069,0.00838,-2.92169203433987,-0.311580520045542
110-111 cm,110,3846,20259,44308,31587,3.03,2.49,0.54,0.0753,0.0132,-2.06280371740027,-0.612580935917265
114-115 cm,114,2664,15343,26076,55916,3.17,2.75,0.42,0.0744,0.0102,-3.80783259023087,-2.10994241392927
118-119 cm,118,3428,19240,35859,41473,3.42,3.09,0.33,0.0672,0.012,-3.5078151787613,-1.38800988311218
122-123 cm,122,2390,14136,22399,61075,3.47,3.08,0.39,0.067,0.00566,-2.96269129504156,-0.334858046673164
126-127 cm,126,6035,37326,49213,7426,4.08,3.82,0.26,0.0657,0.0027,-1.88369504222977,-0.147242145998185
130-131 cm,130,2897,18780,33719,44604,3.99,3.52,0.47,0.106,0.022,-3.37804940796714,-2.10223440125611
134-135 cm,134,2984,25220,37171,34625,3.46,3.21,0.25,0.0647,-0.000263,-3.28717031430206,-2.85348118831468
138-139 cm,138,2552,22957,34682,39809,2.93,2.59,0.34,0.069,0.00275,-4.20755872980775,-3.76108359736642
142-143 cm,142,2164,21465,32343,44027,1.45,1.18,0.27,0.0828,0.00281,-4.47280176980885,-3.6999798376157
146-147 cm,146,3332,27874,38774,30021,2.65,2.27,0.38,0.102,0.00606,-5.29633991568921,-5.40435202199307
150-151 cm,150,8566,26246,36396,28792,6.68,6.51,0.17,0.0631,0.00236,0.41636250053942,-1.06935046139345
154-155 cm,154,8176,20546,36605,34672,5.62,5.49,0.13,0.056,0.00257,1.01866731748532,-0.293136138980984
158-159 cm,158,8562,21209,29942,40287,3.66,3.58,0.08,0.0445,0.00259,0.072218806510153,-0.553197622445254
162-163 cm,162,9634,22604,29309,38454,2.03,2.04,-0.01,0.0371,0.00666,-2.2370499975219,-1.13636519253136
166-167 cm,166,11004,25217,27943,35836,1.12,1.07,0.05,0.036,0.00691,-4.90732026908949,-1.27112966000826
170-171 cm,170,9111,21045,22919,46924,0.516,0.46,0.056,0.0296,0.0104,-5.31163783986785,-2.36752186182948
174-175 cm,174,9179,20555,23943,46322,0.362,0.19,0.172,0.0357,0.0101,-6.96994945036329,-2.56814781664207
178-179 cm,178,8969,20204,20131,50696,0.273,0.19,0.083,0.031,0.0157,-6.42852024381835,-3.20599764191858
182-183 cm,182,10634,23860,23141,42365,0.249,0.24,0.009,0.0314,0.0182,-6.84408539064208,-5.09581717266358
186-187 cm,186,13768,29650,27945,28637,0.335,0.37,-0.035,0.0353,0.00558,-6.63582104549278,-1.88729247797123
190-191 cm,190,12278,28371,22027,37324,0.426,0.31,0.116,0.0271,0.00466,-7.16533409839112,-2.85133120122866
194-195 cm,194,12587,28185,23687,35541,0.467,0.31,0.157,0.0299,0.00383,-6.66620616005156,-2.28131767322714
198-199 cm,198,11634,28206,22231,37928,0.303,0.18,0.123,0.0275,0.00324,-7.31388857279053,-2.56630786724343
202-203 cm,202,13425,30056,25866,30653,0.296,0.22,0.076,0.027,0.00318,-7.61496275605459,-2.47479652768398
206-207 cm,206,12680,30898,25252,31169,0.315,0.16,0.155,0.0218,0.00739,-6.11196740872855,-2.34973355513075
210-211 cm,210,12632,31214,21533,34622,0.508,0.41,0.098,0.0349,0.0052,-7.47353069687289,-3.04869545426482
214-215 cm,214,13203,33956,23872,28968,0.358,0.29,0.068,0.0247,0.00639,-6.57084762667846,-2.90769800847306
218-219 cm,218,14438,31201,15963,38398,0.425,0.35,0.075,0.0248,0.00722,-6.1555099871984,-2.26334300988037
222-223 cm,222,11454,24480,14936,49130,0.246,0.18,0.066,0.0227,0.00185,-6.89907736255925,-2.55134722320724
226-227 cm,226,12091,26872,13785,47252,0.599,0.48,0.119,0.0294,0.00351,-6.06416965733562,-1.88380801134743
230-231 cm,230,11346,24077,13741,50836,0.818,0.71,0.108,0.0244,0.00653,-8.67795460124323,-3.45194485316931
234-235 cm,234,6062,19920,12840,61177,0.316,0.41,-0.094,0.0221,0.00371,-9.53567677897891,-3.92590359825889
238-239 cm,238,5088,18410,12436,64066,0.0138,0.02,-0.0062,0.0239,0.00577,-9.38870303394971,-5.43057644720961
242-243 cm,242,3792,10738,9508,75962,0.0617,-0.01,0.0617,0.0313,0.0131,-9.81231681653598,-8.61849671559189
246-247 cm,246,3305,9538,9533,77624,0.104,-0.04,0.104,0.0205,0.014,-8.7652034335107,-5.60472543694214
